package,layer,framework,DR/NDR,Category,Subcategory,Comment
pic2vec,2,tensorflow,DR,CV,,
faceservice,2,tensorflow,\,,,404
melusine,2,tensorflow,DR,NLP,,
cvae,2,tensorflow,NDR,Model,,
JarvisAI,2,tensorflow,DR,NLP,,Chatbot
cdacal,2,tensorflow,\,,,
tf-fits,2,tensorflow,DR,Physics,,Astronomy
tensorfree,2,tensorflow,DR,CV,,
hcai-nova-server,2,tensorflow,\,,,
desc,2,tensorflow,DR,Biology,,
punctuator-isl,2,tensorflow,DR,NLP,,
ceml,2,tensorflow,NDR,Explainability,,
loganalysispackage,2,tensorflow,\,,,
tf-plan,2,tensorflow,DR,RL,,
upswingutil,2,tensorflow,\,,,
adpkdsupporttool,2,tensorflow,DR,Medicine,,
mimir-visualizer,2,tensorflow,\,,,404
digcommpy,2,tensorflow,DR,Physics,,
BSPPypi3,2,tensorflow,DR,CV,,
mapyllary,2,tensorflow,DR,CV,,
recsim-ng,2,tensorflow,DR,RecSys,,
snntoolbox,2,tensorflow,NDR,Conversion,,
vtorch,2,tensorflow,DR,NLP,,
progen-transformer,2,tensorflow,DR,Biology,,
habana-tensorflow,2,tensorflow,NDR,Training,,
StrawberryFields,2,tensorflow,DR,Other,,Quantum
aesahaettr,2,tensorflow,DR,Physics,,
monk-cuda92,2,tensorflow,DR,CV,,
tigerseg,2,tensorflow,DR,Medicine,,
monk-cuda92-test,2,tensorflow,DR,CV,,
stardist-napari,2,tensorflow,DR,CV,,
chatspace,2,tensorflow,DR,NLP,,
gdemandfcast,2,tensorflow,DR,Time Series,,
pyturbo,2,tensorflow,\,,,404
tensorflow-scientific,2,tensorflow,NDR,Framework,,
histomicstk,2,tensorflow,DR,Medicine,,
loganary-ranking,2,tensorflow,DR,RecSys,,
video-facenet,2,tensorflow,DR,CV,,
deepfeatx,2,tensorflow,\,,,404
crystal4D,2,tensorflow,DR,Physics,,
anyrl,2,tensorflow,DR,RL,,
xplainet,2,tensorflow,NDR,Explainability,,
notedrive,2,tensorflow,\,,,404
BERTVector,2,tensorflow,DR,NLP,,
openspacetrainenv,2,tensorflow,DR,CV,,
mcnn,2,tensorflow,NDR,Framework,,
convo-new-version-abdo,2,tensorflow,DR,NLP,,Chatbot
B-profiler,2,tensorflow,\,,,
chitra,2,tensorflow,NDR,Framework,,
xiRT,2,tensorflow,DR,Biology,,
pyCeterisParibus,2,tensorflow,NDR,Explainability,,
vineyard-ml,2,tensorflow,NDR,Data,,
convo-engine,2,tensorflow,DR,NLP,,Chatbot
iracema,2,tensorflow,DR,Audio,,
abmarl,2,tensorflow,DR,RL,,
ccAF,2,tensorflow,DR,Biology,,
facex,2,tensorflow,DR,CV,,
mingdongnlp,2,tensorflow,DR,NLP,,
xmnlp,2,tensorflow,DR,NLP,,
benderthon,2,tensorflow,NDR,Deployment,,
mroi-fd,2,tensorflow,DR,CV,,
densenet,2,tensorflow,DR,CV,,
image-classifier,2,tensorflow,DR,CV,,
tempocnn,2,tensorflow,DR,Audio,,
curvlearn,2,tensorflow,NDR,Framework,,
