name,summary,home_page,layer,dependent_number,dependency
mxnet,MXNet is an ultra-scalable deep learning framework. This version uses openblas and MKLDNN.,https://github.com/apache/incubator-mxnet,1,46.0,
mxnet-coreml-converter,Tool to convert MXNet models into Apple CoreML model format.,https://github.com/apache/incubator-mxnet/tree/master/tools/coreml,1,,
mxnet-cu100,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-10.0 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,4.0,
mxnet-cu100mkl,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-10.0 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,1.0,
mxnet-cu101,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-10.1 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,5.0,
mxnet-cu101mkl,MXNet is an ultra-scalable deep learning framework. This version uses MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu102,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-10.2 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,3.0,
mxnet-cu102mkl,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-10.2 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu110,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-11.0 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu112,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-11.2 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu75,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-7.5.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu75mkl,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-7.5 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu80,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-8.0.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu80mkl,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-8.0 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu90,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-9.0.,https://github.com/apache/incubator-mxnet,1,6.0,
mxnet-cu90mkl,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-9.0 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu91,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-9.1.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu91mkl,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-9.1 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-cu92,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-9.2.,https://github.com/apache/incubator-mxnet,1,4.0,
mxnet-cu92mkl,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-9.2 and MKLDNN.,https://github.com/apache/incubator-mxnet,1,,
mxnet-gcc5,MXNet is an ultra-scalable deep learning framework. This version uses openblas.,https://github.com/apache/incubator-mxnet,1,,
