package,import_name,layer,framework,down_pkgs,gh_downstream,woc_downstream,comb_downstream
ttd-cli,,2,tensorflow,0,0,0,0
rddl2tf,rddl2tf,2,tensorflow,3,4,7,9
rddl2tf,rddl2tf,3,tensorflow,3,4,7,9
TrackEverything,TrackEverything,2,tensorflow,0,0,4,4
ailabtools,ailabtools,2,tensorflow,1,0,3,3
tsanalysis,,2,tensorflow,0,0,0,0
hivae,hivae,2,tensorflow,0,0,2,2
paddle-parakeet,parakeet,3,tensorflow,0,0,37,37
vacuum-cleaner,vacuum,2,tensorflow,0,0,55,55
TensorImage,tensorimage,2,tensorflow,0,0,2,2
eynollah,qurator,2,tensorflow,0,0,10,10
pypdf-lib,pypdf,3,tensorflow,0,0,16,16
napari-stpt,napari_stpt,2,tensorflow,0,0,0,0
there-is-no-spoon,there_is_no_spoon,2,tensorflow,0,0,1,1
denseblock,DenseBlock,2,tensorflow,0,0,7,7
hub,hub,2,tensorflow,0,0,458,458
hub,hub,3,tensorflow,0,0,458,458
simple-elmo,simple_elmo,2,tensorflow,0,0,10,10
foundry-ml,foundry,2,tensorflow,1,0,56,56
cimcb,cimcb,2,tensorflow,0,1,2,3
visdetect,visdetect,2,tensorflow,0,0,0,0
env-wrappers,env_wrappers,3,tensorflow,0,0,90,90
pyrtstools,pyrtstools,2,tensorflow,0,0,2,2
digcommpy,digcommpy,2,tensorflow,0,0,3,3
rlds,rlds,2,tensorflow,0,0,0,0
thingsvision,thingsvision,2,tensorflow,0,0,0,0
rasa-alice,rasa_alice,3,tensorflow,0,0,0,0
convo-nlu,,2,tensorflow,0,0,0,0
convo-nlu,,3,tensorflow,0,0,0,0
commented-out-code,commented_out_code,3,tensorflow,0,0,0,0
commented-out-code,commented_out_code,2,tensorflow,0,0,0,0
fedot,fedot,2,tensorflow,0,9,7,13
dnnmodels,dnnmodels,4,tensorflow,0,0,1,1
dnnmodels,dnnmodels,2,tensorflow,0,0,1,1
twopic,,2,tensorflow,0,0,0,0
kayra,kayra,2,tensorflow,0,0,0,0
kayra,kayra,3,tensorflow,0,0,0,0
SWAG-DNN,,2,tensorflow,0,0,0,0
mycroft-precise,precise,2,tensorflow,0,3,36,38
cond-rnn,cond_rnn,2,tensorflow,0,0,4,4
unityagents,unityagents,2,tensorflow,0,528,1806,2158
automl-lib,,2,tensorflow,0,0,0,0
datascienv,datascienv,2,tensorflow,0,2,0,2
triko,triko,2,tensorflow,0,0,1,1
simpletransformers,simpletransformers,3,tensorflow,10,491,374,766
rpunct,rpunct,4,tensorflow,0,1,0,1
tensorflow-deploy-utils,tensorflow_deploy_utils,2,tensorflow,0,0,1,1
tensorflow-deploy-utils,tensorflow_deploy_utils,3,tensorflow,0,0,1,1
grants-tagger,grants_tagger,3,tensorflow,0,0,1,1
TFServingSpark,tss,2,tensorflow,0,0,31,31
easytensor,easytensor,2,tensorflow,0,0,0,0
tempocnn,tempocnn,2,tensorflow,0,3,3,6
scvae,scvae,2,tensorflow,0,0,2,2
streamlit-analytics,streamlit_analytics,3,tensorflow,0,71,3,72
BoydCut,BoydCut,3,tensorflow,0,0,1,1
BoydCut,BoydCut,2,tensorflow,0,0,1,1
loganary-ranking,loganary,3,tensorflow,0,0,0,0
loganary-ranking,loganary,2,tensorflow,0,0,0,0
tfbert,,2,tensorflow,0,0,0,0
tfbert,,3,tensorflow,0,0,0,0
grinding-lib,grinding_lib,2,tensorflow,0,0,0,0
link-jam-handle,link_jam_handle,3,tensorflow,0,0,0,0
scScope-cpu,,2,tensorflow,0,0,0,0
rasa-nlu-gao,rasa_nlu_gao,2,tensorflow,0,16,14,29
rasa-nlu-gao,rasa_nlu_gao,3,tensorflow,0,16,14,29
menten-gcn,menten_gcn,2,tensorflow,0,0,1,1
menten-gcn,menten_gcn,3,tensorflow,0,0,1,1
strym,strym,2,tensorflow,0,0,5,5
ttd-cli-gpu,,2,tensorflow,0,0,0,0
grakn-kglib,kglib,2,tensorflow,0,0,10,10
bert-experimental,bert_experimental,2,tensorflow,0,0,2,2
ais-wordnet-sim,ais_wordnet_sim,4,tensorflow,0,0,1,1
xmnlp,xmnlp,2,tensorflow,0,4,24,27
crystalml,,2,tensorflow,0,4,0,4
scikeras-staging,,2,tensorflow,0,0,0,0
peekingduck,peekingduck,2,tensorflow,0,0,0,0
ESEm,esem,3,tensorflow,0,0,0,0
ESEm,esem,2,tensorflow,0,0,0,0
gimmick,gimmick,2,tensorflow,0,1,3,4
DRLZ,DRLZ,2,tensorflow,0,0,0,0
nucleaizer-backend,nucleaizer_backend,2,tensorflow,1,0,0,0
vma-nlu,vma_nlu,3,tensorflow,0,0,0,0
nlp-xiaojiang,nlp_xiaojiang,2,tensorflow,0,0,3,3
nlp-xiaojiang,nlp_xiaojiang,3,tensorflow,0,0,3,3
porto-task,,2,tensorflow,0,0,0,0
climetlab-maelstrom-radiation,climetlab_maelstrom_radiation,2,tensorflow,0,0,0,0
eleanor-mamu,eleanor,2,tensorflow,1,13,24,31
cannai,cannai,2,tensorflow,0,0,0,0
binarypipe,binarypipe,2,tensorflow,0,0,0,0
py-outrider,py_outrider,2,tensorflow,0,0,0,0
azureml-automl-dnn-vision,,5,tensorflow,0,0,0,0
ezst,ezst,2,tensorflow,0,0,0,0
transformer-korean,transformer_korean,2,tensorflow,0,0,0,0
diluvian,diluvian,2,tensorflow,0,0,2,2
my-test-pkg-tnfru,,3,tensorflow,0,0,0,0
my-test-pkg-tnfru,,2,tensorflow,0,0,0,0
OmicsAnalysis,OmicsAnalysis,2,tensorflow,0,0,0,0
tensorflow-graphics,tensorflow_graphics,2,tensorflow,1,0,84,84
diploshictest,diploshic,2,tensorflow,0,0,0,0
lucifer-ml,luciferml,2,tensorflow,0,0,0,0
ezLncPred,,3,tensorflow,0,0,0,0
OpenNIR-XPM,onir,4,tensorflow,0,0,2,2
zfit-physics,zfit_physics,3,tensorflow,0,0,1,1
marley,marley,2,tensorflow,0,0,2,2
bounded-prescience,prescience,2,tensorflow,0,0,1,1
convo-n2,,3,tensorflow,0,0,0,0
convo-n2,,2,tensorflow,0,0,0,0
style-transfer,,2,tensorflow,0,0,0,0
coco-assistant,coco_assistant,2,tensorflow,0,0,5,5
AsymmetricLoss,,2,tensorflow,0,0,0,0
BERTVector,BERTVector,2,tensorflow,0,0,0,0
face-detection-tflite,fdlite,2,tensorflow,0,0,0,0
embryoseg,embryoseg,2,tensorflow,0,0,0,0
recommender-pkg,recpkg,2,tensorflow,0,0,0,0
hypergol,hypergol,2,tensorflow,0,4,4,4
studioml,studio,2,tensorflow,0,5,145,149
model-converters,model_converters,2,tensorflow,0,0,4,4
model-converters,model_converters,3,tensorflow,0,0,4,4
pyCeterisParibus,ceteris_paribus,3,tensorflow,0,2,6,7
pyCeterisParibus,ceteris_paribus,2,tensorflow,0,2,6,7
deepforest,deepforest,2,tensorflow,0,21,19,37
DeepNN,,3,tensorflow,0,0,0,0
sibyl-ai,sibyl,2,tensorflow,0,0,30,30
cressp,cressp,3,tensorflow,0,0,0,0
cressp,cressp,2,tensorflow,0,0,0,0
tutti-aisthetics-slim,tutti_aisthetics_slim,2,tensorflow,0,0,0,0
kerassurgeon,,2,tensorflow,0,0,0,0
meta-optimize,meta_optimize,3,tensorflow,0,0,0,0
meguru-tokenizer,meguru_tokenizer,2,tensorflow,0,0,1,1
tf-pose,,2,tensorflow,0,0,0,0
smartcare,smartcare,2,tensorflow,0,0,1,1
glom-tf,glomtf,2,tensorflow,0,0,0,0
Orange3-MNE,Orange3MNE,2,tensorflow,0,0,0,0
Orange3-MNE,Orange3MNE,4,tensorflow,0,0,0,0
ryakugo-pkg,,2,tensorflow,0,0,0,0
tropic-learn,,2,tensorflow,0,0,0,0
monk-cuda100,,2,tensorflow,0,0,0,0
tensorflow-serving-client,tensorflow_serving_client,3,tensorflow,2,0,17,17
tensorflow-serving-client,tensorflow_serving_client,2,tensorflow,2,0,17,17
polaris-ml,polaris,3,tensorflow,0,0,37,37
ersilia,ersilia,3,tensorflow,0,0,3,3
IBATS-Huobi-Trader,ibats_huobi_trader,4,tensorflow,0,0,3,3
IBATS-Huobi-Trader,ibats_huobi_trader,3,tensorflow,0,0,3,3
graph-search,graph_search,3,tensorflow,0,0,153,153
successor,successor,2,tensorflow,0,2,24,26
fife,fife,2,tensorflow,0,1,49,49
linora,linora,2,tensorflow,1,3,5,7
ISR,ISR,2,tensorflow,0,0,99,99
pyfoal,pyfoal,3,tensorflow,0,2,0,2
tensorflow-tracer,tftracer,2,tensorflow,0,2,3,4
