name,summary,home_page,layer,dependent_number,dependency
EISeg,交互式标注软件,https://github.com/PaddlePaddle/PaddleSeg,1,,
PaddleDetection-test,test ppdet,https://github.com/PaddlePaddle/PaddleDetection,1,,
Senta,A sentiment classification tools made by Baidu NLP.,https://github.com/PaddlePaddle/models/tree/develop/PaddleNLP/sentiment_classification,1,,
bert-service,client package for bert serving,https://github.com/PaddlePaddle/Serving,1,,
bert-serving,package for paddle serving with bert,https://github.com/PaddlePaddle/Serving,1,1.0,
fleet-lightning,,https://github.com/PaddlePaddle/Fleet,1,,
fleet-x,,https://github.com/PaddlePaddle/Fleet,1,,
jtyoui-ernie,A pretrained NLP model for every NLP tasks,https://github.com/PaddlePaddle/ERNIE/,1,,
metagym,MetaGym: Environments for benchmarking reinforcement learning and meta reinforcement learning,https://github.com/PaddlePaddle/RLSchool,1,,
paddle-edl,Paddle EDL Package,https://github.com/PaddlePaddle/edl,1,,
paddle-ernie,A pretrained NLP model for every NLP tasks,https://github.com/PaddlePaddle/ERNIE/,1,,
paddle-fl,Privacy-Preserving Deep Learning Package Based on PaddlePaddle.,https://github.com/PaddlePaddle/PaddleFL,1,,
paddle-gpu-serving,package for paddle serving with bert,https://github.com/PaddlePaddle/Serving,1,,
paddle-parakeet,Speech synthesis tools and models based on Paddlepaddle,https://github.com/PaddlePaddle,1,,
paddle-propeller,high level paddle-paddle API,https://github.com/PaddlePaddle/ERNIE,1,,
paddle-quantum,Paddle Quantum is a quantum machine learning (QML) toolkit developed based on Baidu PaddlePaddle.,http://qml.baidu.com,1,,
paddle-rec,paddle-rec,https://github.com/PaddlePaddle/PaddleRec,1,,
paddle-serving-app,Paddle Serving Package for saved model with PaddlePaddle,https://github.com/PaddlePaddle/Serving,1,2.0,
paddle-serving-client,Paddle Serving Package for saved model with PaddlePaddle,https://github.com/PaddlePaddle/Serving,1,2.0,
paddle-serving-server,Paddle Serving Package for saved model with PaddlePaddle,https://github.com/PaddlePaddle/Serving,1,,
paddle-serving-server-gpu,Paddle Serving Package for saved model with PaddlePaddle,https://github.com/PaddlePaddle/Serving,1,,
paddle-upgrade-tool,Upgrade python project from paddle-1.x to paddle-2.0,https://github.com/PaddlePaddle/paddle_upgrade_tool,1,,
paddle1to2,Upgrade python project from paddle-1.x to paddle-2.0,https://github.com/PaddlePaddle/paddle1to2,1,,
paddle2onnx,a toolkit for converting trained model of PaddlePaddle to ONNX.,https://github.com/PaddlePaddle/paddle2onnx,1,1.0,
paddle_fl,Privacy-Preserving Deep Learning Package Based on PaddlePaddle.,https://github.com/PaddlePaddle/PaddleFL,1,,
paddleclas,Awesome Image Classification toolkits based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleClas,1,,
paddledet,Object detection and instance segmentation toolkit based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleDetection,1,,
paddlehub,A toolkit for managing pretrained models of PaddlePaddle and helping user getting started with transfer learning more efficiently.,https://github.com/PaddlePaddle/PaddleHub,1,3.0,
paddlenlp,PaddlePaddle NLP Model Core Library,https://github.com/PaddlePaddle/PaddleNLP,1,2.0,
paddleocr,"Awesome OCR toolkits based on PaddlePaddle （8.6M ultra-lightweight pre-trained model, support training and deployment among server, mobile, embeded and IoT devices",https://github.com/PaddlePaddle/PaddleOCR,1,2.0,
paddleocr-sabhi,Package to test the Awesome PaddleOCR,,1,1.0,
paddlepaddle,Parallel Distributed Deep Learning,,1,28.0,
paddlepaddle-gpu,Parallel Distributed Deep Learning,,1,10.0,
paddlepalm,"a flexible, general and easy-to-use NLP large-scale pretraining and multi-task learning framework.",https://github.com/PaddlePaddle/PALM,1,,
paddleseg,End-to-end image segmentation kit based on PaddlePaddle.,https://github.com/PaddlePaddle/PaddleSeg,1,2.0,
paddlevideo,Awesome Video toolkits based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleVideo,1,,
paddlex,PaddlePaddle Entire Process Development Toolkit,https://github.com/PaddlePaddle/PaddleX,1,1.0,
parl,Reinforcement Learning Framework,https://github.com/PaddlePaddle/PARL,1,,
passl,PaddlePaddle Self-Supervised Development Toolkit,https://github.com/PaddlePaddle/PASSL,1,,
pgl,Paddle Graph Learning,https://github.com/PaddlePaddle/PGL,1,1.0,
plsc,PaddlePaddle Large Scale Classfication Package.,https://github.com/PaddlePaddle/PLSC,1,,
ppcls-notebook,PaddleClas for notebook,https://github.com/PaddlePaddle/PaddleClas,1,,
ppdet,Object detection and instance segmentation toolkit based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleDetection,1,,
ppdet-notebook,PaddleDetection for notebook,https://github.com/PaddlePaddle/PaddleDetection,1,,
ppdet-test,testppdet,https://github.com/PaddlePaddle/PaddleDetection,1,,
ppgan,Awesome GAN toolkits based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleGAN,1,,
ppocr-test,test paddleocr,https://github.com/PaddlePaddle/PaddleOCR,1,,
ppvideo,Awesome Video toolkits based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleVideo,1,,
recordio,An implementation of the RecordIO file format.,https://github.com/PaddlePaddle/recordio,1,2.0,
rlschool,RLSchool: Excellent environments for reinforcement Learning benchmarking,https://github.com/PaddlePaddle/RLSchool,1,,
sabhiocr-server,Awesome self rolled OCR toolkits based on PaddlePaddle,,1,,
tianshuo-test-pow,Parallel Distributed Deep Learning,,1,,
